Source,Site,Kind,location,substrate,type,1302,1300,1298,1296,1292,1292',Ia,Ib,Ic,IIa,IIa',IIb,IIb',IIc,IIc',IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',Iia-tot,Iib-tot,Iic-tot,,iiia-tot,IIIb-tot,IIIc-tot,FR.TETR,FR.PEN,FR.HEX,Br6/5+6,NoRINGStetra,NoRINGSpenta5,NoRINGSpenta6,NoRINGSpenta,IRpenta,IRhexa
"Zell et al., 2014",KNR197-4-20WS,core lipid,Amazon,shelf sediment,modern,0.4,0.3,0.3,0.1,2.3,0.1,100,0,0,,,,,,,,,,,,,0,0,0,,0,0,0,100,0,0,,0,,,,,
"Zell et al., 2014",KNR197-4-21WS,core lipid,Amazon,shelf sediment,modern,27.4,9.4,10.2,1,45.4,3.7,66.667,11.111,0,,,,,,,,,,,,,0.128,0,0,,0.128,0,0,77.778,0.128,0.128,,0.143,,,0,0,0
"Zell et al., 2014",KNR197-4-21WS,core lipid,Amazon,shelf sediment,modern,3.9,2.2,2.4,1.1,20.2,1.2,76.923,7.692,0,,,,,,,,,,,,,0.047,0,0,,0,0,0,84.615,0.047,0,,0.091,,,0,0,
"Zell et al., 2014",KNR197-4-22WS,core lipid,Amazon,shelf sediment,modern,3.1,1.1,1.2,0.1,5.3,0.4,28.571,0,0,,,,,,,,,,,,,0,0,0,,0.349,0,0,28.571,0,0.349,,0,,,,,0
"Zell et al., 2014",KNR197-4-22WS,core lipid,Amazon,shelf sediment,modern,1,0.6,0.6,0.2,5,0.3,76.923,7.692,3.846,,,,,,,,,,,,,0.034,0,0,,0,0,0,88.462,0.034,0,,0.174,,,0,0,
"Zell et al., 2014",KNR197-4-23WS,core lipid,Amazon,shelf sediment,modern,14.7,7.4,10.4,5.2,49.7,3.3,43.478,13.043,0,,,,,,,,,,,,,0,0,0,,0.177,0,0,56.522,0,0.177,,0.231,,,,,0
"Zell et al., 2014",KNR197-4-23WS,core lipid,Amazon,shelf sediment,modern,0.3,0.3,0.5,0.3,2.7,0.1,100,0,0,,,,,,,,,,,,,0,0,0,,0,0,0,100,0,0,,0,,,,,
"Zell et al., 2014",KNR197-4-25WS,core lipid,Amazon,shelf sediment,modern,7.5,2.8,3.8,2.2,33.1,1.2,64.583,12.153,5.556,,,,,,,,,,,,,4.348,0.915,0.229,,0.343,0,0,82.292,5.493,0.343,,0.283,,,0.25,0,0
"Zell et al., 2014",KNR197-4-25WS,core lipid,Amazon,shelf sediment,modern,1.6,0.9,1.9,0.6,12.6,0.3,60.87,8.696,8.696,,,,,,,,,,,,,0.255,0.051,0,,0.013,0,0,78.261,0.306,0.013,,0.333,,,0.167,0,0
"Zell et al., 2014",KNR197-4-28WS,core lipid,Amazon,shelf sediment,modern,18.2,5.1,5,0.8,31.3,2.1,56.604,5.66,0,,,,,,,,,,,,,0.16,0,0,,0.16,0,0,62.264,0.16,0.16,,0.091,,,0,0,0
"Zell et al., 2014",KNR197-4-28WS,core lipid,Amazon,shelf sediment,modern,4.5,2.4,4.8,2,22.7,2.2,100,0,0,,,,,,,,,,,,,0,0,0,,0,0,0,100,0,0,,0,,,,,
"Zell et al., 2014",KNR197-4-32bWS,core lipid,Amazon,shelf sediment,modern,12.3,4.7,4.6,0.5,22.3,1.7,33.333,0,0,,,,,,,,,,,,,0.296,0,0,,0.889,0,0,33.333,0.296,0.889,,0,,,0,0,0
"Zell et al., 2014",KNR197-4-32bWS,core lipid,Amazon,shelf sediment,modern,1.4,0.8,1.1,0.4,6.7,0.4,100,0,0,,,,,,,,,,,,,0,0,0,,0,0,0,100,0,0,,0,,,,,
"Zell et al., 2014",KNR197-4-42bWS,core lipid,Amazon,shelf sediment,modern,22.7,7.6,8.3,0.8,36.8,3,58.824,7.353,2.206,,,,,,,,,,,,,0.291,0.044,0,,0.291,0,0,68.382,0.334,0.291,,0.172,,,0.13,0,0
"Zell et al., 2014",KNR197-4-42bWS,core lipid,Amazon,shelf sediment,modern,1.7,0.8,1.2,0.3,7.2,0.5,100,0,0,,,,,,,,,,,,,0,0,0,,0,0,0,100,0,0,,0,,,,,
"Zell et al., 2014",KNR197-4-42dWS,core lipid,Amazon,shelf sediment,modern,10,3.7,5.4,0.8,23.4,2.4,27.027,0,0,,,,,,,,,,,,,0.11,0,0.147,,0.733,0,0,27.027,0.256,0.733,,0,,,1.143,0,0
"Zell et al., 2014",KNR197-4-42dWS,core lipid,Amazon,shelf sediment,modern,0.9,0.5,0.9,0.4,4.7,0.3,100,0,0,,,,,,,,,,,,,0,0,0,,0,0,0,100,0,0,,0,,,,,
"Zell et al., 2014",KNR197-4-42dWS,core lipid,Amazon,shelf sediment,modern,12.6,8.1,12.5,8.2,63.7,3.3,62.5,25,0,,,,,,,,,,,,,0,0,0,,0.023,0,0,87.5,0,0.023,,0.286,,,,,0
"Zell et al., 2014",KNR197-4-42dWS,core lipid,Amazon,shelf sediment,modern,0.3,0.2,0.4,0.2,2.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zell et al., 2014",KNR197-4-43WS,core lipid,Amazon,shelf sediment,modern,2.1,1.7,3.2,2.4,24.2,0.7,21.277,21.277,10.638,,,,,,,,,,,,,0.373,0.186,0.075,,0.186,0,0,53.191,0.634,0.186,,0.8,,,0.529,0,0
"Zell et al., 2014",KNR197-4-43WS,core lipid,Amazon,shelf sediment,modern,6.6,6,10.2,7.7,69.8,2.1,23.529,17.647,23.529,,,,,,,,,,,,,0.306,0.153,0.153,,0.306,0,0,64.706,0.613,0.306,,1,,,0.75,0,0
"Zell et al., 2014",KNR197-4-13BC,core lipid,Amazon,shelf sediment,modern,28.7,7.8,8.6,1.5,46.7,4.1,58.912,6.042,1.511,,,,,,,,,,,,,1.31,0.582,0.146,,1.019,0.146,0.029,66.465,2.038,1.194,,0.136,,,0.429,0,0
"Zell et al., 2014",KNR197-4-20BC,core lipid,Amazon,shelf sediment,modern,16.4,4.6,4.9,0.8,27.8,2.4,64.302,4.435,2.217,,,,,,,,,,,,,0.83,0.277,0.138,,0.415,0.138,0.014,70.953,1.245,0.567,,0.125,,,0.444,0,0
"Zell et al., 2014",KNR197-4-21BC,core lipid,Amazon,shelf sediment,modern,19.6,5.6,6.2,1,40,2.8,67.13,4.63,2.315,,,,,,,,,,,,,0.798,0.266,0.133,,0.266,0.027,0,74.074,1.197,0.293,,0.125,,,0.444,0,0
"Zell et al., 2014",KNR197-4-22BC,core lipid,Amazon,shelf sediment,modern,35.1,10.4,11.4,2,53.3,5,65.934,5.495,2.198,,,,,,,,,,,,,1.71,0.658,0.132,,0.526,0.132,0,73.626,2.499,0.658,,0.134,,,0.368,0,0
"Zell et al., 2014",KNR197-4-23BC,core lipid,Amazon,shelf sediment,modern,43.9,10.9,11,1.5,74.6,4.8,52.113,4.225,1.408,,,,,,,,,,,,,1.646,0.329,0.165,,2.634,0.165,0,57.746,2.14,2.799,,0.122,,,0.308,0,0
"Zell et al., 2014",KNR197-4-25BC,core lipid,Amazon,shelf sediment,modern,13.2,4.3,6.2,3.8,56.2,2.4,63.008,12.331,5.827,,,,,,,,,,,,,11.361,2.104,0.421,,0.631,0.105,0,81.165,13.885,0.736,,0.295,,,0.212,0,0
"Zell et al., 2014",KNR197-4-28BC,core lipid,Amazon,shelf sediment,modern,38.7,10.2,11.2,1.6,74.7,5,68.75,4.688,1.563,,,,,,,,,,,,,1.044,0.392,0.131,,0.522,0,0,75,1.567,0.522,,0.104,,,0.417,0,0
"Zell et al., 2014",KNR197-4-32bBC,core lipid,Amazon,shelf sediment,modern,25.7,7.3,8.2,1.2,48.3,3.8,58.376,5.076,2.538,,,,,,,,,,,,,0.743,0.297,0.149,,0.743,0.045,0.015,65.99,1.188,0.802,,0.154,,,0.5,0,0
"Zell et al., 2014",KNR197-4-32cBC,core lipid,Amazon,shelf sediment,modern,18.8,4.8,5.3,0.8,37.4,2.4,65.401,4.219,2.11,,,,,,,,,,,,,0.821,0.274,0.137,,0.547,0.055,0,71.73,1.232,0.602,,0.118,,,0.444,0,0
"Zell et al., 2014",KNR197-4-42bBC,core lipid,Amazon,shelf sediment,modern,17.4,4.3,4.6,1,35.1,2.2,73.95,4.622,1.681,,,,,,,,,,,,,3.531,0.942,0.235,,0.706,0.118,0,80.252,4.709,0.824,,0.099,,,0.3,0,0
"Zell et al., 2014",KNR197-4-42dBC,core lipid,Amazon,shelf sediment,modern,10.5,5.7,7.3,4.2,54.9,2.4,12.868,31.25,25.735,,,,,,,,,,,,,0.559,1.399,0.28,,0.056,0,0,69.853,2.238,0.056,,1.184,,,0.875,0,0
"Zell et al., 2014",KNR197-4-43BC,core lipid,Amazon,shelf sediment,modern,26.8,15.9,22.8,16,211.5,6.7,30.926,14.898,13.544,,,,,,,,,,,,,11.633,4.653,1.81,,5.17,0,0,59.368,18.095,5.17,,0.707,,,0.457,0,0
"Zell et al., 2014",KNR197-4-44cBC,core lipid,Amazon,shelf sediment,modern,37.4,10,10.1,1.4,71.3,4.8,50,4.286,1.429,,,,,,,,,,,,,1.7,0.34,0.17,,2.89,0.17,0,55.714,2.21,3.06,,0.128,,,0.308,0,0
"Zell et al., 2014",KNR197-4-49BC,core lipid,Amazon,shelf sediment,modern,14.6,3.7,3.7,0.5,24.3,1.5,40.816,6.803,1.361,,,,,,,,,,,,,0.402,0.201,0.04,,0.804,0.06,0,48.98,0.643,0.865,,0.194,,,0.438,0,0
"Zell et al., 2014",KNR197-4-50BC,core lipid,Amazon,shelf sediment,modern,12,2.1,1.9,0.3,15.7,0.8,81.758,2.53,0.666,,,,,,,,,,,,,8.519,0.935,0.208,,1.766,0.208,0.104,84.953,9.662,2.078,,0.045,,,0.14,0,0
"Zell et al., 2014",KNR197-4-60BC,core lipid,Amazon,shelf sediment,modern,28,7.3,7.5,1,50.6,3.1,56.863,3.922,1.961,,,,,,,,,,,,,1.083,0.155,0.155,,1.392,0.155,0,62.745,1.392,1.547,,0.125,,,0.333,0,0
"Warden et al., 2018",LW142478-1-POL-1,core lipid,Baltic,shelf sediment,modern,,,,,,,0.234,0.147,0.07,0.07,0.05,0.047,0.071,0.006,0.027,0.119,0.138,0.005,0.01,0.002,0.004,1.083,0.155,0.155,,1.392,0.155,0,0.451,1.392,1.547,0.548,0.637,0.471,0.847,0.333,0.107,0.098
"Warden et al., 2018",LW142479-1-POL-1,core lipid,Baltic,shelf sediment,modern,,,,,,,0.24,0.167,0.076,0.059,0.052,0.048,0.07,0.005,0.028,0.108,0.126,0.006,0.01,0.002,0.004,1.083,0.155,0.155,,1.392,0.155,0,0.482,1.392,1.547,0.561,0.659,0.516,0.836,0.333,0.108,0.09
"Warden et al., 2018",KK104010-1-pol-1,core lipid,Baltic,shelf sediment,modern,,,,,,,0.149,0.068,0.026,0.115,0.043,0.116,0.054,0.015,0.02,0.154,0.184,0.018,0.024,0.008,0.005,1.083,0.155,0.155,,1.392,0.155,0,0.244,1.392,1.547,0.437,0.497,0.589,0.797,0.333,0.084,0.138
"Warden et al., 2018",KK104008-1-pol-1,core lipid,Baltic,shelf sediment,modern,,,,,,,0.181,0.158,0.069,0.099,0.047,0.105,0.047,0.009,0.018,0.122,0.114,0.01,0.013,0.003,0.004,1.083,0.155,0.155,,1.392,0.155,0,0.408,1.392,1.547,0.411,0.724,0.577,0.736,0.333,0.08,0.085
"Warden et al., 2018",KK103995-1-POL-1,core lipid,Baltic,shelf sediment,modern,,,,,,,0.183,0.11,0.031,0.074,0.089,0.094,0.156,0.007,0.013,0.11,0.065,0.012,0.045,0.002,0.007,1.083,0.155,0.155,,1.392,0.155,0,0.325,1.392,1.547,0.556,0.531,0.617,0.703,0.333,0.185,0.076
"Warden et al., 2018",KK103912-1-pol-1,core lipid,Baltic,shelf sediment,modern,,,,,,,0.177,0.115,0.04,0.08,0.083,0.118,0.109,0.011,0.019,0.117,0.086,0,0.032,0.004,0.01,1.083,0.155,0.155,,1.392,0.155,0,0.332,1.392,1.547,0.507,0.587,0.67,0.692,0.333,0.151,0.083
"Warden et al., 2018",MR141217-1-pol-1,core lipid,Baltic,shelf sediment,modern,,,,,,,0.126,0.142,0.052,0.109,0.046,0.18,0.041,0.017,0.012,0.135,0.097,0.018,0.018,0.003,0.004,1.083,0.155,0.155,,1.392,0.155,0,0.32,1.392,1.547,0.32,0.768,0.699,0.661,0.333,0.072,0.076
"Warden et al., 2018",KK104021-1-POL-1,core lipid,Baltic,shelf sediment,modern,,,,,,,0.167,0.112,0.035,0.097,0.085,0.1,0.115,0.008,0.011,0.144,0.075,0.013,0.032,0.006,0,1.083,0.155,0.155,,1.392,0.155,0,0.314,1.392,1.547,0.464,0.577,0.566,0.651,0.333,0.152,0.069
"Warden et al., 2018",KK104014-1-pol-1,core lipid,Baltic,shelf sediment,modern,,,,,,,0.191,0.056,0.02,0.149,0.046,0.096,0.04,0.012,0.012,0.173,0.163,0.016,0.013,0.007,0.005,1.083,0.155,0.155,,1.392,0.155,0,0.268,1.392,1.547,0.381,0.359,0.467,0.649,0.333,0.07,0.117
"Warden et al., 2018",MB105653-1-pol-1,core lipid,Baltic,shelf sediment,modern,,,,,,,0.261,0.094,0.039,0.071,0.065,0.074,0.052,0.007,0.015,0.177,0.101,0.016,0.021,0.002,0.004,1.083,0.155,0.155,,1.392,0.155,0,0.394,1.392,1.547,0.426,0.434,0.584,0.622,0.333,0.095,0.082
"Warden et al., 2018",KK104009-1-POL-1,core lipid,Baltic,shelf sediment,modern,,,,,,,0.145,0.096,0.025,0.065,0.145,0.064,0.177,0.009,0.015,0.118,0.064,0.009,0.052,0.004,0.011,1.083,0.155,0.155,,1.392,0.155,0,0.266,1.392,1.547,0.632,0.548,0.59,0.613,0.333,0.242,0.082
"Warden et al., 2018",MR141218-1-pol-1,core lipid,Baltic,shelf sediment,modern,,,,,,,0.215,0.067,0.022,0.171,0.056,0.117,0.044,0.012,0.009,0.14,0.106,0.015,0.018,0.003,0.005,1.083,0.155,0.155,,1.392,0.155,0,0.304,1.392,1.547,0.342,0.367,0.472,0.572,0.333,0.078,0.083
"Warden et al., 2018",KK104015-1-pol-1,core lipid,Baltic,shelf sediment,modern,,,,,,,0.289,0.018,0.005,0.256,0.054,0.012,0.019,0.006,0.002,0.171,0.148,0.005,0.008,0.005,0.002,1.083,0.155,0.155,,1.392,0.155,0,0.312,1.392,1.547,0.338,0.091,0.085,0.304,0.333,0.054,0.102
"Warden et al., 2018",AM141557-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.164,0.118,0.041,0.073,0.082,0.107,0.1,0.009,0.013,0.136,0.082,0.01,0.027,0.01,0.027,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141561-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.168,0.129,0.049,0.072,0.083,0.125,0.068,0.01,0.017,0.142,0.092,0.01,0.02,0.01,0.005,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141562-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.184,0.132,0.056,0.08,0.055,0.131,0.058,0.012,0.017,0.143,0.096,0.012,0.017,0.002,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141566-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.185,0.115,0.042,0.087,0.047,0.098,0.067,0.011,0.015,0.212,0.088,0.014,0.019,0,0,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141571-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.206,0.116,0.046,0.084,0.068,0.079,0.078,0.011,0.015,0.158,0.1,0.011,0.024,0.002,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141575-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.212,0.104,0.039,0.073,0.043,0.097,0.05,0.015,0.017,0.203,0.111,0.015,0.021,0,0,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141576-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.235,0.107,0.041,0.078,0.048,0.101,0.05,0.01,0.013,0.179,0.109,0.011,0.015,0,0.004,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141579-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.138,0.112,0.054,0.063,0.054,0.115,0.075,0.011,0.037,0.13,0.15,0.017,0.028,0.003,0.01,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141580-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.144,0.114,0.053,0.064,0.051,0.117,0.075,0.01,0.035,0.131,0.146,0.018,0.029,0.004,0.01,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141581-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.143,0.109,0.052,0.07,0.053,0.121,0.067,0.013,0.034,0.141,0.145,0.017,0.023,0.004,0.009,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141582-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.144,0.109,0.052,0.066,0.051,0.122,0.062,0.01,0.032,0.149,0.148,0.018,0.023,0.004,0.009,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141583-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.141,0.11,0.051,0.063,0.051,0.114,0.063,0.011,0.032,0.152,0.158,0.018,0.023,0.004,0.008,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141584-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.14,0.113,0.055,0.063,0.053,0.115,0.057,0.01,0.032,0.148,0.164,0.017,0.022,0.003,0.008,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141585-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.141,0.106,0.048,0.067,0.053,0.108,0.069,0.01,0.034,0.145,0.169,0.017,0.022,0.003,0.008,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141586-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.138,0.111,0.055,0.061,0.053,0.096,0.071,0.008,0.034,0.146,0.174,0.018,0.022,0.005,0.009,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141587-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.138,0.11,0.055,0.059,0.054,0.098,0.079,0.01,0.038,0.142,0.168,0.016,0.021,0.004,0.008,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141588-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.14,0.109,0.055,0.063,0.057,0.098,0.071,0.01,0.036,0.143,0.171,0.016,0.021,0.004,0.008,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141589-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.149,0.115,0.059,0.061,0.056,0.096,0.072,0.009,0.033,0.137,0.164,0.017,0.02,0.003,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141590-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.154,0.117,0.06,0.062,0.057,0.091,0.065,0.009,0.031,0.141,0.166,0.015,0.02,0.004,0.009,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141591-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.154,0.117,0.059,0.06,0.057,0.1,0.064,0.009,0.031,0.142,0.159,0.017,0.02,0.004,0.008,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141592-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.149,0.118,0.059,0.059,0.057,0.096,0.065,0.011,0.03,0.141,0.169,0.015,0.02,0.004,0.008,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141593-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.149,0.117,0.059,0.06,0.059,0.095,0.066,0.01,0.029,0.14,0.167,0.016,0.02,0.004,0.008,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141594-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.139,0.118,0.06,0.059,0.057,0.092,0.075,0.009,0.027,0.15,0.166,0.017,0.022,0.002,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141595-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.134,0.116,0.058,0.057,0.057,0.098,0.065,0.009,0.027,0.151,0.179,0.017,0.022,0.002,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141596-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.134,0.121,0.059,0.058,0.058,0.095,0.071,0.01,0.03,0.15,0.17,0.015,0.02,0.002,0.006,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141597-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.129,0.115,0.058,0.057,0.055,0.091,0.077,0.01,0.028,0.154,0.178,0.016,0.021,0.003,0.008,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141598-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.133,0.123,0.062,0.059,0.056,0.095,0.072,0.009,0.029,0.149,0.167,0.016,0.022,0.002,0.006,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141599-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.133,0.125,0.062,0.059,0.057,0.092,0.075,0.009,0.028,0.147,0.165,0.017,0.021,0.002,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141600-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.13,0.121,0.062,0.057,0.057,0.088,0.077,0.008,0.028,0.151,0.173,0.017,0.022,0.003,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141601-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.131,0.123,0.062,0.058,0.056,0.093,0.072,0.009,0.028,0.153,0.171,0.015,0.02,0.002,0.006,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141602-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.137,0.125,0.063,0.058,0.057,0.095,0.073,0.009,0.029,0.143,0.162,0.016,0.022,0.003,0.008,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141603-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.136,0.123,0.063,0.058,0.056,0.087,0.08,0.008,0.029,0.146,0.166,0.017,0.021,0.003,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141604-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.14,0.128,0.064,0.058,0.057,0.09,0.081,0.009,0.031,0.138,0.157,0.016,0.021,0.002,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141605-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.14,0.128,0.066,0.059,0.058,0.093,0.081,0.01,0.032,0.133,0.153,0.016,0.021,0.002,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141606-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.139,0.132,0.067,0.058,0.058,0.091,0.085,0.009,0.033,0.134,0.149,0.016,0.021,0.002,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141607-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.136,0.131,0.065,0.06,0.057,0.098,0.079,0.009,0.033,0.137,0.149,0.017,0.02,0.002,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141608-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.138,0.127,0.064,0.061,0.056,0.1,0.076,0.009,0.032,0.139,0.148,0.016,0.022,0.003,0.008,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141609-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.136,0.126,0.063,0.062,0.056,0.099,0.081,0.009,0.033,0.144,0.145,0.017,0.022,0.002,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141610-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.137,0.125,0.062,0.062,0.054,0.089,0.088,0.009,0.032,0.146,0.147,0.017,0.022,0.002,0.007,,,,,,,,,,,,,,,,,
"Warden et al., 2018",AM141611-1-POL-1,core lipid,Baltic,shelf sediment,Holocene,,,,,,,0.14,0.124,0.062,0.062,0.057,0.104,0.072,0.009,0.032,0.151,0.145,0.015,0.019,0.002,0.007,,,,,,,,,,,,,,,,,
